=== program=biasedtugwar seed=2 (grammar-mcmc) ===
[biasedtugwar seed=2 step=0] current_train_nll=92.8823 best_held_out_nll=94.2223 accept_rate=0.00 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=25] current_train_nll=15.7392 best_held_out_nll=15.7731 accept_rate=0.08 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=50] current_train_nll=13.0010 best_held_out_nll=12.9562 accept_rate=0.08 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=75] current_train_nll=12.1025 best_held_out_nll=12.0576 accept_rate=0.09 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=100] current_train_nll=12.1025 best_held_out_nll=12.0576 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=125] current_train_nll=12.0206 best_held_out_nll=11.9761 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=150] current_train_nll=12.2055 best_held_out_nll=11.9761 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=175] current_train_nll=11.1695 best_held_out_nll=11.1382 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=200] current_train_nll=11.6463 best_held_out_nll=11.1382 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=225] current_train_nll=11.5927 best_held_out_nll=11.1382 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=250] current_train_nll=12.1832 best_held_out_nll=11.1382 accept_rate=0.08 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=275] current_train_nll=11.1199 best_held_out_nll=11.1369 accept_rate=0.08 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=300] current_train_nll=12.4879 best_held_out_nll=11.1369 accept_rate=0.08 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=325] current_train_nll=9.1961 best_held_out_nll=9.2166 accept_rate=0.08 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=350] current_train_nll=9.1961 best_held_out_nll=9.2166 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=375] current_train_nll=8.7154 best_held_out_nll=8.7106 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=400] current_train_nll=9.2351 best_held_out_nll=8.7106 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=425] current_train_nll=13.2848 best_held_out_nll=8.7106 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=450] current_train_nll=14.1499 best_held_out_nll=8.7106 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=475] current_train_nll=14.0315 best_held_out_nll=8.7106 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=500] current_train_nll=13.8808 best_held_out_nll=8.7106 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=525] current_train_nll=13.4868 best_held_out_nll=8.7106 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=550] current_train_nll=13.4868 best_held_out_nll=8.7106 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=575] current_train_nll=13.4066 best_held_out_nll=8.7106 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=600] current_train_nll=13.4066 best_held_out_nll=8.7106 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=625] current_train_nll=11.0559 best_held_out_nll=8.7106 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=650] current_train_nll=8.0390 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=675] current_train_nll=8.0390 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=700] current_train_nll=10.7856 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=725] current_train_nll=9.9951 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=750] current_train_nll=9.1645 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=775] current_train_nll=9.1645 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=800] current_train_nll=8.5778 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=825] current_train_nll=8.5778 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=850] current_train_nll=10.1555 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=875] current_train_nll=11.9642 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=900] current_train_nll=11.4425 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=925] current_train_nll=10.3452 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=950] current_train_nll=9.9142 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=975] current_train_nll=9.1021 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1000] current_train_nll=9.1021 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1025] current_train_nll=9.1021 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1050] current_train_nll=9.1021 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1075] current_train_nll=9.9315 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1100] current_train_nll=10.5547 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1125] current_train_nll=11.5385 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1150] current_train_nll=11.0995 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1175] current_train_nll=13.1220 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1200] current_train_nll=13.1290 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1225] current_train_nll=13.1290 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1250] current_train_nll=12.4435 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1275] current_train_nll=11.6640 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1300] current_train_nll=13.5309 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1325] current_train_nll=11.8872 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1350] current_train_nll=12.4263 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1375] current_train_nll=12.4263 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1400] current_train_nll=12.3489 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1425] current_train_nll=13.4885 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1450] current_train_nll=13.4885 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1475] current_train_nll=13.4925 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1500] current_train_nll=9.8703 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1525] current_train_nll=10.6951 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1550] current_train_nll=10.2242 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1575] current_train_nll=10.2242 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1600] current_train_nll=10.9876 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1625] current_train_nll=16.2520 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1650] current_train_nll=16.4493 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1675] current_train_nll=12.3736 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1700] current_train_nll=13.4966 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1725] current_train_nll=13.4966 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1750] current_train_nll=11.1314 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1775] current_train_nll=8.9462 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1800] current_train_nll=8.9462 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1825] current_train_nll=8.9462 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1850] current_train_nll=8.9462 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1875] current_train_nll=8.8925 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1900] current_train_nll=9.0057 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1925] current_train_nll=10.0694 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1950] current_train_nll=9.9397 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=1975] current_train_nll=10.0632 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2000] current_train_nll=10.0632 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2025] current_train_nll=10.3894 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2050] current_train_nll=12.5044 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2075] current_train_nll=12.4641 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2100] current_train_nll=10.9760 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2125] current_train_nll=11.3255 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2150] current_train_nll=11.9017 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2175] current_train_nll=13.3535 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2200] current_train_nll=14.7080 best_held_out_nll=7.9825 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2225] current_train_nll=13.2718 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2250] current_train_nll=15.9662 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2275] current_train_nll=13.5172 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2300] current_train_nll=15.0679 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2325] current_train_nll=12.3753 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2350] current_train_nll=12.3753 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2375] current_train_nll=11.9100 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2400] current_train_nll=11.0266 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2425] current_train_nll=9.8503 best_held_out_nll=7.9825 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2450] current_train_nll=7.8578 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2475] current_train_nll=8.0025 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2500] current_train_nll=8.0025 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2525] current_train_nll=9.8128 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2550] current_train_nll=12.7589 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2575] current_train_nll=12.8845 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2600] current_train_nll=9.6698 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2625] current_train_nll=9.8418 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2650] current_train_nll=9.8418 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2675] current_train_nll=9.9858 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2700] current_train_nll=9.7669 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2725] current_train_nll=9.7669 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2750] current_train_nll=9.5389 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2775] current_train_nll=10.7550 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2800] current_train_nll=11.4772 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2825] current_train_nll=11.4772 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2850] current_train_nll=11.4772 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2875] current_train_nll=9.4038 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2900] current_train_nll=12.1115 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2925] current_train_nll=9.0896 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2950] current_train_nll=9.6711 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=2975] current_train_nll=9.6711 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3000] current_train_nll=9.6711 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3025] current_train_nll=10.6293 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3050] current_train_nll=11.1070 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3075] current_train_nll=11.1070 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3100] current_train_nll=11.7999 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3125] current_train_nll=11.6241 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3150] current_train_nll=12.9363 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3175] current_train_nll=13.2592 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3200] current_train_nll=11.5146 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3225] current_train_nll=12.1318 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3250] current_train_nll=10.7095 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3275] current_train_nll=14.8808 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3300] current_train_nll=10.5736 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3325] current_train_nll=10.6875 best_held_out_nll=7.5178 accept_rate=0.06 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3350] current_train_nll=15.9314 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3375] current_train_nll=12.9710 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3400] current_train_nll=13.9616 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3425] current_train_nll=10.4413 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3450] current_train_nll=9.3899 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3475] current_train_nll=9.9823 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3500] current_train_nll=9.9823 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3525] current_train_nll=11.8512 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3550] current_train_nll=14.0778 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3575] current_train_nll=15.5943 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3600] current_train_nll=15.5943 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3625] current_train_nll=14.5384 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3650] current_train_nll=10.6688 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3675] current_train_nll=11.1313 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3700] current_train_nll=11.1313 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3725] current_train_nll=11.9493 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3750] current_train_nll=12.5931 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3775] current_train_nll=14.0831 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3800] current_train_nll=12.4966 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3825] current_train_nll=15.0850 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3850] current_train_nll=14.7427 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3875] current_train_nll=15.8569 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3900] current_train_nll=16.0647 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3925] current_train_nll=11.2828 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3950] current_train_nll=10.8529 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=3975] current_train_nll=9.8874 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=4000] current_train_nll=12.3375 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=4025] current_train_nll=13.1170 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=4050] current_train_nll=11.5338 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=4075] current_train_nll=11.5338 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=4100] current_train_nll=11.5338 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=4125] current_train_nll=11.5338 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=4150] current_train_nll=11.1671 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=4175] current_train_nll=12.2763 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=4200] current_train_nll=15.8242 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
[biasedtugwar seed=2 step=4225] current_train_nll=11.6573 best_held_out_nll=7.5178 accept_rate=0.07 valid_proposal_rate=1.00
