=== program=csi seed=2 (grammar-mcmc) ===
[csi seed=2 step=0] current_train_nll=66.3824 best_held_out_nll=66.4091 accept_rate=0.00 valid_proposal_rate=1.00
[csi seed=2 step=25] current_train_nll=21.8057 best_held_out_nll=21.8082 accept_rate=0.19 valid_proposal_rate=1.00
[csi seed=2 step=50] current_train_nll=25.5677 best_held_out_nll=21.8082 accept_rate=0.12 valid_proposal_rate=1.00
[csi seed=2 step=75] current_train_nll=22.6358 best_held_out_nll=21.8082 accept_rate=0.09 valid_proposal_rate=1.00
[csi seed=2 step=100] current_train_nll=17.8814 best_held_out_nll=15.6750 accept_rate=0.10 valid_proposal_rate=1.00
[csi seed=2 step=125] current_train_nll=18.5316 best_held_out_nll=15.5348 accept_rate=0.10 valid_proposal_rate=1.00
[csi seed=2 step=150] current_train_nll=15.8712 best_held_out_nll=15.5348 accept_rate=0.09 valid_proposal_rate=1.00
[csi seed=2 step=175] current_train_nll=14.3251 best_held_out_nll=14.3856 accept_rate=0.09 valid_proposal_rate=1.00
[csi seed=2 step=200] current_train_nll=14.6591 best_held_out_nll=13.6125 accept_rate=0.09 valid_proposal_rate=1.00
[csi seed=2 step=225] current_train_nll=10.0213 best_held_out_nll=10.0897 accept_rate=0.10 valid_proposal_rate=1.00
[csi seed=2 step=250] current_train_nll=11.5608 best_held_out_nll=10.0897 accept_rate=0.10 valid_proposal_rate=1.00
[csi seed=2 step=275] current_train_nll=10.9106 best_held_out_nll=10.0897 accept_rate=0.09 valid_proposal_rate=1.00
[csi seed=2 step=300] current_train_nll=10.9106 best_held_out_nll=10.0897 accept_rate=0.08 valid_proposal_rate=1.00
[csi seed=2 step=325] current_train_nll=10.9106 best_held_out_nll=10.0897 accept_rate=0.08 valid_proposal_rate=1.00
[csi seed=2 step=350] current_train_nll=10.8844 best_held_out_nll=10.0897 accept_rate=0.07 valid_proposal_rate=1.00
[csi seed=2 step=375] current_train_nll=10.8844 best_held_out_nll=10.0897 accept_rate=0.07 valid_proposal_rate=1.00
[csi seed=2 step=400] current_train_nll=10.8844 best_held_out_nll=10.0897 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=425] current_train_nll=10.4014 best_held_out_nll=10.0897 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=450] current_train_nll=11.2867 best_held_out_nll=10.0897 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=475] current_train_nll=10.7320 best_held_out_nll=10.0897 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=500] current_train_nll=10.7320 best_held_out_nll=10.0897 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=525] current_train_nll=12.8146 best_held_out_nll=10.0897 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=550] current_train_nll=10.5141 best_held_out_nll=10.0897 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=575] current_train_nll=9.6221 best_held_out_nll=9.4938 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=600] current_train_nll=7.6306 best_held_out_nll=7.8321 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=625] current_train_nll=7.5687 best_held_out_nll=7.8321 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=650] current_train_nll=7.5687 best_held_out_nll=7.8321 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=675] current_train_nll=7.2678 best_held_out_nll=7.6893 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=700] current_train_nll=7.2678 best_held_out_nll=7.6893 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=725] current_train_nll=7.2678 best_held_out_nll=7.6893 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=750] current_train_nll=7.2678 best_held_out_nll=7.6893 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=775] current_train_nll=6.5280 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=800] current_train_nll=7.6193 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=825] current_train_nll=9.6082 best_held_out_nll=6.9118 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=850] current_train_nll=9.6082 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=875] current_train_nll=7.8587 best_held_out_nll=6.9118 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=900] current_train_nll=7.2101 best_held_out_nll=6.9118 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=925] current_train_nll=8.0230 best_held_out_nll=6.9118 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=950] current_train_nll=8.0230 best_held_out_nll=6.9118 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=975] current_train_nll=9.2801 best_held_out_nll=6.9118 accept_rate=0.06 valid_proposal_rate=1.00
[csi seed=2 step=1000] current_train_nll=9.4274 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1025] current_train_nll=9.4274 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1050] current_train_nll=8.2884 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1075] current_train_nll=8.2884 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1100] current_train_nll=8.2884 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1125] current_train_nll=7.7371 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1150] current_train_nll=7.5380 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1175] current_train_nll=8.8310 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1200] current_train_nll=8.1438 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1225] current_train_nll=8.1438 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1250] current_train_nll=8.1438 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1275] current_train_nll=8.1438 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1300] current_train_nll=8.1438 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1325] current_train_nll=8.1438 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1350] current_train_nll=8.1438 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1375] current_train_nll=7.7943 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1400] current_train_nll=7.7943 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1425] current_train_nll=7.7943 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
[csi seed=2 step=1450] current_train_nll=11.9521 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1475] current_train_nll=10.3128 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1500] current_train_nll=8.4685 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1525] current_train_nll=8.4617 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1550] current_train_nll=8.4617 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1575] current_train_nll=8.5294 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1600] current_train_nll=8.3396 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1625] current_train_nll=8.3396 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1650] current_train_nll=8.3396 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1675] current_train_nll=7.1757 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1700] current_train_nll=7.2747 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1725] current_train_nll=7.2747 best_held_out_nll=6.9118 accept_rate=0.05 valid_proposal_rate=1.00
[csi seed=2 step=1750] current_train_nll=7.2747 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
[csi seed=2 step=1775] current_train_nll=7.4569 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
[csi seed=2 step=1800] current_train_nll=7.4569 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
[csi seed=2 step=1825] current_train_nll=7.4569 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
[csi seed=2 step=1850] current_train_nll=7.4569 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
[csi seed=2 step=1875] current_train_nll=10.4798 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
[csi seed=2 step=1900] current_train_nll=10.4798 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
[csi seed=2 step=1925] current_train_nll=10.4798 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
[csi seed=2 step=1950] current_train_nll=11.6011 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
[csi seed=2 step=1975] current_train_nll=13.0823 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
[csi seed=2 step=2000] current_train_nll=15.3850 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
[csi seed=2 step=2025] current_train_nll=15.9459 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
[csi seed=2 step=2050] current_train_nll=12.0688 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
[csi seed=2 step=2075] current_train_nll=12.0688 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
[csi seed=2 step=2100] current_train_nll=12.0024 best_held_out_nll=6.9118 accept_rate=0.04 valid_proposal_rate=1.00
