=== program=easytugwar seed=3 (grammar-mcmc) ===
[easytugwar seed=3 step=0] current_train_nll=15.6840 best_held_out_nll=15.4261 accept_rate=0.00 valid_proposal_rate=1.00
[easytugwar seed=3 step=25] current_train_nll=10.8067 best_held_out_nll=10.5741 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=50] current_train_nll=10.8067 best_held_out_nll=10.5741 accept_rate=0.02 valid_proposal_rate=1.00
[easytugwar seed=3 step=75] current_train_nll=10.8067 best_held_out_nll=10.5741 accept_rate=0.01 valid_proposal_rate=1.00
[easytugwar seed=3 step=100] current_train_nll=10.8067 best_held_out_nll=10.5741 accept_rate=0.01 valid_proposal_rate=1.00
[easytugwar seed=3 step=125] current_train_nll=10.3476 best_held_out_nll=10.0380 accept_rate=0.02 valid_proposal_rate=1.00
[easytugwar seed=3 step=150] current_train_nll=10.3871 best_held_out_nll=10.0380 accept_rate=0.02 valid_proposal_rate=1.00
[easytugwar seed=3 step=175] current_train_nll=10.3871 best_held_out_nll=10.0380 accept_rate=0.02 valid_proposal_rate=1.00
[easytugwar seed=3 step=200] current_train_nll=10.6441 best_held_out_nll=10.0380 accept_rate=0.02 valid_proposal_rate=1.00
[easytugwar seed=3 step=225] current_train_nll=12.2433 best_held_out_nll=10.0380 accept_rate=0.03 valid_proposal_rate=1.00
[easytugwar seed=3 step=250] current_train_nll=12.2433 best_held_out_nll=10.0380 accept_rate=0.03 valid_proposal_rate=1.00
[easytugwar seed=3 step=275] current_train_nll=12.2225 best_held_out_nll=10.0380 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=300] current_train_nll=12.0530 best_held_out_nll=10.0380 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=325] current_train_nll=11.6671 best_held_out_nll=10.0380 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=350] current_train_nll=11.6671 best_held_out_nll=10.0380 accept_rate=0.03 valid_proposal_rate=1.00
[easytugwar seed=3 step=375] current_train_nll=8.7961 best_held_out_nll=9.0093 accept_rate=0.03 valid_proposal_rate=1.00
[easytugwar seed=3 step=400] current_train_nll=8.7961 best_held_out_nll=9.0093 accept_rate=0.03 valid_proposal_rate=1.00
[easytugwar seed=3 step=425] current_train_nll=9.8752 best_held_out_nll=9.0093 accept_rate=0.03 valid_proposal_rate=1.00
[easytugwar seed=3 step=450] current_train_nll=7.6231 best_held_out_nll=7.6096 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=475] current_train_nll=7.6231 best_held_out_nll=7.6096 accept_rate=0.03 valid_proposal_rate=1.00
[easytugwar seed=3 step=500] current_train_nll=8.3973 best_held_out_nll=7.6096 accept_rate=0.03 valid_proposal_rate=1.00
[easytugwar seed=3 step=525] current_train_nll=8.3973 best_held_out_nll=7.6096 accept_rate=0.03 valid_proposal_rate=1.00
[easytugwar seed=3 step=550] current_train_nll=7.4164 best_held_out_nll=7.4070 accept_rate=0.03 valid_proposal_rate=1.00
[easytugwar seed=3 step=575] current_train_nll=7.4164 best_held_out_nll=7.4070 accept_rate=0.03 valid_proposal_rate=1.00
[easytugwar seed=3 step=600] current_train_nll=7.4164 best_held_out_nll=7.4070 accept_rate=0.03 valid_proposal_rate=1.00
[easytugwar seed=3 step=625] current_train_nll=7.4164 best_held_out_nll=7.4070 accept_rate=0.03 valid_proposal_rate=1.00
[easytugwar seed=3 step=650] current_train_nll=11.0545 best_held_out_nll=7.4070 accept_rate=0.03 valid_proposal_rate=1.00
[easytugwar seed=3 step=675] current_train_nll=15.0289 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=700] current_train_nll=12.8264 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=725] current_train_nll=12.6637 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=750] current_train_nll=10.4717 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=775] current_train_nll=11.3736 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=800] current_train_nll=11.3736 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=825] current_train_nll=11.3736 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=850] current_train_nll=8.9725 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=875] current_train_nll=8.9725 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=900] current_train_nll=8.3180 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=925] current_train_nll=9.0780 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=950] current_train_nll=9.7892 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=975] current_train_nll=9.4056 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=1000] current_train_nll=9.4056 best_held_out_nll=7.4070 accept_rate=0.03 valid_proposal_rate=1.00
[easytugwar seed=3 step=1025] current_train_nll=10.9752 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=1050] current_train_nll=13.1058 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=1075] current_train_nll=12.3921 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=1100] current_train_nll=12.0070 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=1125] current_train_nll=14.4065 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=1150] current_train_nll=13.4672 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=1175] current_train_nll=12.9495 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=1200] current_train_nll=12.4346 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=1225] current_train_nll=10.4471 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=1250] current_train_nll=7.8529 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=1275] current_train_nll=8.7173 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=1300] current_train_nll=8.7173 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=1325] current_train_nll=10.4167 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=1350] current_train_nll=8.7405 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
[easytugwar seed=3 step=1375] current_train_nll=8.7008 best_held_out_nll=7.4070 accept_rate=0.04 valid_proposal_rate=1.00
