iteration,best_loss
0,inf
1,inf
2,inf
3,inf
4,inf
5,inf
6,inf
7,inf
8,inf
9,inf
10,inf
11,inf
12,inf
13,inf
14,inf
15,inf
16,inf
17,-2.4380913318650506
18,-2.4380913318650506
19,-2.4380913318650506
20,-2.4380913318650506
21,-2.4380913318650506
22,-2.4380913318650506
23,-2.4380913318650506
24,-2.4380913318650506
25,-2.4380913318650506
26,-2.4380913318650506
27,-2.4380913318650506
28,-2.4380913318650506
29,-2.4380913318650506
30,-2.4380913318650506
31,-2.4380913318650506
32,-2.4380913318650506
33,-2.4380913318650506
34,-2.4380913318650506
35,-2.4380913318650506
36,-2.4380913318650506
37,-2.4380913318650506
38,-2.4380913318650506
39,-2.4380913318650506
40,-2.4380913318650506
41,-2.4380913318650506
42,-2.4380913318650506
43,-2.4380913318650506
44,-2.4380913318650506
45,-2.4380913318650506
46,-2.4380913318650506
47,-2.4380913318650506
48,-2.4380913318650506
49,-2.4380913318650506
50,-2.4380913318650506
51,-2.4380913318650506
52,-2.4380913318650506
53,-2.4380913318650506
54,-2.4380913318650506
55,-2.4380913318650506
56,-2.4380913318650506
57,-2.4380913318650506
58,-2.4380913318650506
59,-2.4380913318650506
60,-2.4380913318650506
61,-2.4380913318650506
62,-2.4380913318650506
63,-2.4380913318650506
64,-2.4380913318650506
65,-2.4380913318650506
66,-2.4380913318650506
67,-2.4380913318650506
68,-2.4380913318650506
69,-2.4380913318650506
70,-2.4380913318650506
71,-2.4380913318650506
72,-2.4380913318650506
73,-2.4380913318650506
74,-2.4380913318650506
75,-2.4380913318650506
76,-2.4380913318650506
77,-2.4380913318650506
78,-2.4380913318650506
79,-2.4380913318650506
80,-2.4380913318650506
81,-2.4380913318650506
82,-2.4380913318650506
83,-2.4380913318650506
84,-2.4380913318650506
85,-2.4380913318650506
86,-2.4380913318650506
87,-2.4380913318650506
88,-2.4380913318650506
89,-2.4380913318650506
90,-2.4380913318650506
91,-2.4380913318650506
92,-2.4380913318650506
93,-2.4380913318650506
94,-2.4380913318650506
95,-2.4380913318650506
96,-2.4380913318650506
97,-2.4380913318650506
98,-2.4380913318650506
99,-2.4380913318650506
100,-2.4380913318650506
