=== program=eyecolor seed=5 (grammar-mcmc) ===
[eyecolor seed=5 step=0] current_train_nll=113.9026 best_held_out_nll=114.2451 accept_rate=1.00 valid_proposal_rate=1.00
[eyecolor seed=5 step=25] current_train_nll=10.9289 best_held_out_nll=11.0136 accept_rate=0.12 valid_proposal_rate=1.00
[eyecolor seed=5 step=50] current_train_nll=14.3526 best_held_out_nll=11.0136 accept_rate=0.10 valid_proposal_rate=1.00
[eyecolor seed=5 step=75] current_train_nll=13.8745 best_held_out_nll=11.0136 accept_rate=0.08 valid_proposal_rate=1.00
[eyecolor seed=5 step=100] current_train_nll=14.1829 best_held_out_nll=11.0136 accept_rate=0.09 valid_proposal_rate=1.00
[eyecolor seed=5 step=125] current_train_nll=13.4544 best_held_out_nll=11.0136 accept_rate=0.09 valid_proposal_rate=1.00
[eyecolor seed=5 step=150] current_train_nll=12.4083 best_held_out_nll=11.0136 accept_rate=0.09 valid_proposal_rate=1.00
[eyecolor seed=5 step=175] current_train_nll=10.4961 best_held_out_nll=10.3905 accept_rate=0.09 valid_proposal_rate=1.00
[eyecolor seed=5 step=200] current_train_nll=9.9765 best_held_out_nll=9.9625 accept_rate=0.09 valid_proposal_rate=1.00
[eyecolor seed=5 step=225] current_train_nll=7.8014 best_held_out_nll=7.7941 accept_rate=0.08 valid_proposal_rate=1.00
[eyecolor seed=5 step=250] current_train_nll=7.8014 best_held_out_nll=7.7941 accept_rate=0.08 valid_proposal_rate=1.00
[eyecolor seed=5 step=275] current_train_nll=7.8014 best_held_out_nll=7.7941 accept_rate=0.07 valid_proposal_rate=1.00
[eyecolor seed=5 step=300] current_train_nll=9.5599 best_held_out_nll=7.7941 accept_rate=0.07 valid_proposal_rate=1.00
[eyecolor seed=5 step=325] current_train_nll=10.0816 best_held_out_nll=7.7428 accept_rate=0.07 valid_proposal_rate=1.00
[eyecolor seed=5 step=350] current_train_nll=11.7390 best_held_out_nll=7.7428 accept_rate=0.07 valid_proposal_rate=1.00
[eyecolor seed=5 step=375] current_train_nll=12.9025 best_held_out_nll=7.7428 accept_rate=0.07 valid_proposal_rate=1.00
[eyecolor seed=5 step=400] current_train_nll=12.7158 best_held_out_nll=7.7428 accept_rate=0.07 valid_proposal_rate=1.00
[eyecolor seed=5 step=425] current_train_nll=15.3255 best_held_out_nll=7.7428 accept_rate=0.07 valid_proposal_rate=1.00
[eyecolor seed=5 step=450] current_train_nll=12.6498 best_held_out_nll=7.7428 accept_rate=0.07 valid_proposal_rate=1.00
[eyecolor seed=5 step=475] current_train_nll=11.3335 best_held_out_nll=7.7428 accept_rate=0.07 valid_proposal_rate=1.00
[eyecolor seed=5 step=500] current_train_nll=12.7607 best_held_out_nll=7.7428 accept_rate=0.07 valid_proposal_rate=1.00
[eyecolor seed=5 step=525] current_train_nll=11.3103 best_held_out_nll=7.7428 accept_rate=0.08 valid_proposal_rate=1.00
[eyecolor seed=5 step=550] current_train_nll=14.0584 best_held_out_nll=7.7428 accept_rate=0.08 valid_proposal_rate=1.00
[eyecolor seed=5 step=575] current_train_nll=12.6955 best_held_out_nll=7.7428 accept_rate=0.08 valid_proposal_rate=1.00
