=== program=hurricane seed=3 (grammar-mcmc) ===
[hurricane seed=3 step=0] current_train_nll=58.2073 best_held_out_nll=57.6265 accept_rate=0.00 valid_proposal_rate=1.00
[hurricane seed=3 step=25] current_train_nll=13.6580 best_held_out_nll=13.6779 accept_rate=0.27 valid_proposal_rate=1.00
[hurricane seed=3 step=50] current_train_nll=6.5261 best_held_out_nll=6.5854 accept_rate=0.24 valid_proposal_rate=1.00
[hurricane seed=3 step=75] current_train_nll=8.4571 best_held_out_nll=6.5854 accept_rate=0.18 valid_proposal_rate=1.00
[hurricane seed=3 step=100] current_train_nll=4.7690 best_held_out_nll=4.8023 accept_rate=0.16 valid_proposal_rate=1.00
[hurricane seed=3 step=125] current_train_nll=5.0279 best_held_out_nll=4.8023 accept_rate=0.14 valid_proposal_rate=1.00
[hurricane seed=3 step=150] current_train_nll=5.0279 best_held_out_nll=4.8023 accept_rate=0.12 valid_proposal_rate=1.00
[hurricane seed=3 step=175] current_train_nll=4.3403 best_held_out_nll=4.2141 accept_rate=0.11 valid_proposal_rate=1.00
[hurricane seed=3 step=200] current_train_nll=4.3403 best_held_out_nll=4.2141 accept_rate=0.09 valid_proposal_rate=1.00
[hurricane seed=3 step=225] current_train_nll=4.7445 best_held_out_nll=4.2141 accept_rate=0.09 valid_proposal_rate=1.00
[hurricane seed=3 step=250] current_train_nll=4.7445 best_held_out_nll=4.2141 accept_rate=0.08 valid_proposal_rate=1.00
[hurricane seed=3 step=275] current_train_nll=6.4149 best_held_out_nll=4.2141 accept_rate=0.08 valid_proposal_rate=1.00
[hurricane seed=3 step=300] current_train_nll=6.4149 best_held_out_nll=4.2141 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=325] current_train_nll=4.9619 best_held_out_nll=4.2141 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=350] current_train_nll=6.7743 best_held_out_nll=4.2141 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=375] current_train_nll=9.8062 best_held_out_nll=4.2141 accept_rate=0.08 valid_proposal_rate=1.00
[hurricane seed=3 step=400] current_train_nll=4.1962 best_held_out_nll=4.2141 accept_rate=0.08 valid_proposal_rate=1.00
[hurricane seed=3 step=425] current_train_nll=3.5369 best_held_out_nll=3.5826 accept_rate=0.08 valid_proposal_rate=1.00
[hurricane seed=3 step=450] current_train_nll=3.5369 best_held_out_nll=3.5826 accept_rate=0.08 valid_proposal_rate=1.00
[hurricane seed=3 step=475] current_train_nll=4.6524 best_held_out_nll=3.5826 accept_rate=0.08 valid_proposal_rate=1.00
[hurricane seed=3 step=500] current_train_nll=4.5595 best_held_out_nll=3.5826 accept_rate=0.08 valid_proposal_rate=1.00
[hurricane seed=3 step=525] current_train_nll=5.0511 best_held_out_nll=3.5826 accept_rate=0.08 valid_proposal_rate=1.00
[hurricane seed=3 step=550] current_train_nll=5.0511 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=575] current_train_nll=5.0511 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=600] current_train_nll=5.9193 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=625] current_train_nll=4.6636 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=650] current_train_nll=6.2302 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=675] current_train_nll=6.2302 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=700] current_train_nll=5.7157 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=725] current_train_nll=7.7774 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=750] current_train_nll=8.8219 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=775] current_train_nll=8.8219 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=800] current_train_nll=8.8219 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=825] current_train_nll=9.1425 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=850] current_train_nll=8.6674 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=875] current_train_nll=6.8783 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=900] current_train_nll=6.8783 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=925] current_train_nll=6.5302 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=950] current_train_nll=7.4829 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=975] current_train_nll=8.0227 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=1000] current_train_nll=6.6024 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=1025] current_train_nll=6.6024 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=1050] current_train_nll=4.5626 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=1075] current_train_nll=7.5989 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=1100] current_train_nll=4.2824 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=1125] current_train_nll=4.8922 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=1150] current_train_nll=8.7399 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=1175] current_train_nll=7.5027 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=1200] current_train_nll=6.0433 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=1225] current_train_nll=6.0433 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=1250] current_train_nll=6.9799 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=1275] current_train_nll=5.5587 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=1300] current_train_nll=5.5587 best_held_out_nll=3.5826 accept_rate=0.07 valid_proposal_rate=1.00
[hurricane seed=3 step=1325] current_train_nll=5.5587 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1350] current_train_nll=5.6338 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1375] current_train_nll=5.6338 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1400] current_train_nll=5.6338 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1425] current_train_nll=5.8852 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1450] current_train_nll=5.8852 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1475] current_train_nll=5.0442 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1500] current_train_nll=3.9203 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1525] current_train_nll=5.1343 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1550] current_train_nll=4.0518 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1575] current_train_nll=4.0518 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1600] current_train_nll=5.7471 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1625] current_train_nll=6.0364 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1650] current_train_nll=4.1427 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1675] current_train_nll=4.8470 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1700] current_train_nll=4.8470 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1725] current_train_nll=4.6511 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1750] current_train_nll=4.6511 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1775] current_train_nll=6.1193 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1800] current_train_nll=7.3490 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1825] current_train_nll=7.3490 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1850] current_train_nll=5.1434 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1875] current_train_nll=5.4033 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1900] current_train_nll=4.6197 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1925] current_train_nll=7.8484 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1950] current_train_nll=7.8484 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=1975] current_train_nll=8.1132 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=2000] current_train_nll=6.3875 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=2025] current_train_nll=6.2953 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=2050] current_train_nll=5.2797 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=2075] current_train_nll=5.2797 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=2100] current_train_nll=5.5725 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=2125] current_train_nll=4.8058 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=2150] current_train_nll=4.8058 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=2175] current_train_nll=4.8058 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=2200] current_train_nll=5.5802 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=2225] current_train_nll=6.6253 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
[hurricane seed=3 step=2250] current_train_nll=8.4739 best_held_out_nll=3.5826 accept_rate=0.06 valid_proposal_rate=1.00
