=== program=mixedcondition seed=4 (grammar-mcmc) ===
[mixedcondition seed=4 step=0] current_train_nll=156.8833 best_held_out_nll=155.3067 accept_rate=0.00 valid_proposal_rate=1.00
[mixedcondition seed=4 step=25] current_train_nll=14.1207 best_held_out_nll=14.1104 accept_rate=0.08 valid_proposal_rate=1.00
[mixedcondition seed=4 step=50] current_train_nll=14.8849 best_held_out_nll=14.1104 accept_rate=0.08 valid_proposal_rate=1.00
[mixedcondition seed=4 step=75] current_train_nll=15.7484 best_held_out_nll=14.1104 accept_rate=0.09 valid_proposal_rate=1.00
[mixedcondition seed=4 step=100] current_train_nll=15.3955 best_held_out_nll=14.1104 accept_rate=0.08 valid_proposal_rate=1.00
[mixedcondition seed=4 step=125] current_train_nll=10.7990 best_held_out_nll=10.9461 accept_rate=0.08 valid_proposal_rate=1.00
[mixedcondition seed=4 step=150] current_train_nll=10.7990 best_held_out_nll=10.9461 accept_rate=0.07 valid_proposal_rate=1.00
[mixedcondition seed=4 step=175] current_train_nll=10.7990 best_held_out_nll=10.9461 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=200] current_train_nll=10.7990 best_held_out_nll=10.9461 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=225] current_train_nll=10.7990 best_held_out_nll=10.9461 accept_rate=0.04 valid_proposal_rate=1.00
[mixedcondition seed=4 step=250] current_train_nll=10.7990 best_held_out_nll=10.9461 accept_rate=0.04 valid_proposal_rate=1.00
[mixedcondition seed=4 step=275] current_train_nll=10.7990 best_held_out_nll=10.9461 accept_rate=0.04 valid_proposal_rate=1.00
[mixedcondition seed=4 step=300] current_train_nll=11.0994 best_held_out_nll=10.9461 accept_rate=0.04 valid_proposal_rate=1.00
[mixedcondition seed=4 step=325] current_train_nll=13.4566 best_held_out_nll=10.9461 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=350] current_train_nll=13.4566 best_held_out_nll=10.9461 accept_rate=0.04 valid_proposal_rate=1.00
[mixedcondition seed=4 step=375] current_train_nll=11.0251 best_held_out_nll=10.9461 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=400] current_train_nll=10.2119 best_held_out_nll=10.1974 accept_rate=0.04 valid_proposal_rate=1.00
[mixedcondition seed=4 step=425] current_train_nll=9.4453 best_held_out_nll=9.6779 accept_rate=0.04 valid_proposal_rate=1.00
[mixedcondition seed=4 step=450] current_train_nll=9.4453 best_held_out_nll=9.6779 accept_rate=0.04 valid_proposal_rate=1.00
[mixedcondition seed=4 step=475] current_train_nll=10.5552 best_held_out_nll=9.6779 accept_rate=0.04 valid_proposal_rate=1.00
[mixedcondition seed=4 step=500] current_train_nll=10.6549 best_held_out_nll=9.6779 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=525] current_train_nll=10.6549 best_held_out_nll=9.6779 accept_rate=0.04 valid_proposal_rate=1.00
[mixedcondition seed=4 step=550] current_train_nll=10.9971 best_held_out_nll=9.6779 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=575] current_train_nll=10.9971 best_held_out_nll=9.6779 accept_rate=0.04 valid_proposal_rate=1.00
[mixedcondition seed=4 step=600] current_train_nll=10.9971 best_held_out_nll=9.6779 accept_rate=0.04 valid_proposal_rate=1.00
[mixedcondition seed=4 step=625] current_train_nll=13.4683 best_held_out_nll=9.4923 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=650] current_train_nll=13.4931 best_held_out_nll=9.4923 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=675] current_train_nll=10.8956 best_held_out_nll=9.4923 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=700] current_train_nll=10.8956 best_held_out_nll=9.4923 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=725] current_train_nll=10.5876 best_held_out_nll=9.4923 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=750] current_train_nll=9.4525 best_held_out_nll=9.4923 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=775] current_train_nll=10.0917 best_held_out_nll=9.4923 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=800] current_train_nll=9.1488 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=825] current_train_nll=10.0423 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=850] current_train_nll=10.2023 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=875] current_train_nll=10.2023 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=900] current_train_nll=10.9644 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=925] current_train_nll=12.3561 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=950] current_train_nll=12.8105 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=975] current_train_nll=12.8105 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1000] current_train_nll=12.8105 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1025] current_train_nll=12.9996 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1050] current_train_nll=11.1173 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1075] current_train_nll=12.7701 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1100] current_train_nll=12.5019 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1125] current_train_nll=12.5019 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1150] current_train_nll=13.2971 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1175] current_train_nll=13.2971 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1200] current_train_nll=13.4130 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1225] current_train_nll=11.7404 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1250] current_train_nll=12.7490 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1275] current_train_nll=12.8889 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1300] current_train_nll=14.7383 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1325] current_train_nll=15.2181 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1350] current_train_nll=12.7321 best_held_out_nll=9.1684 accept_rate=0.05 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1375] current_train_nll=10.6892 best_held_out_nll=9.1684 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1400] current_train_nll=10.8566 best_held_out_nll=9.1684 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1425] current_train_nll=10.5065 best_held_out_nll=9.1684 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1450] current_train_nll=10.0170 best_held_out_nll=9.1684 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1475] current_train_nll=8.0703 best_held_out_nll=8.1874 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1500] current_train_nll=9.5101 best_held_out_nll=8.1874 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1525] current_train_nll=8.0742 best_held_out_nll=8.1874 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1550] current_train_nll=8.0338 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1575] current_train_nll=8.2866 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1600] current_train_nll=8.2866 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1625] current_train_nll=8.6031 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1650] current_train_nll=7.9680 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1675] current_train_nll=7.6764 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1700] current_train_nll=8.2766 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1725] current_train_nll=7.1695 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1750] current_train_nll=7.6008 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1775] current_train_nll=8.0324 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1800] current_train_nll=8.0324 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1825] current_train_nll=7.6738 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1850] current_train_nll=7.6738 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1875] current_train_nll=10.3513 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1900] current_train_nll=14.2236 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
[mixedcondition seed=4 step=1925] current_train_nll=11.0706 best_held_out_nll=6.7103 accept_rate=0.06 valid_proposal_rate=1.00
