=== program=mog1 seed=1 (grammar-mcmc) ===
[mog1 seed=1 step=0] current_train_nll=151.4691 best_held_out_nll=152.2817 accept_rate=0.00 valid_proposal_rate=1.00
[mog1 seed=1 step=25] current_train_nll=21.2164 best_held_out_nll=21.1071 accept_rate=0.15 valid_proposal_rate=1.00
[mog1 seed=1 step=50] current_train_nll=12.4947 best_held_out_nll=12.4943 accept_rate=0.12 valid_proposal_rate=1.00
[mog1 seed=1 step=75] current_train_nll=12.1427 best_held_out_nll=12.0631 accept_rate=0.11 valid_proposal_rate=1.00
[mog1 seed=1 step=100] current_train_nll=11.9657 best_held_out_nll=11.9992 accept_rate=0.09 valid_proposal_rate=1.00
[mog1 seed=1 step=125] current_train_nll=11.2787 best_held_out_nll=9.9116 accept_rate=0.10 valid_proposal_rate=1.00
[mog1 seed=1 step=150] current_train_nll=9.4436 best_held_out_nll=9.6108 accept_rate=0.09 valid_proposal_rate=1.00
[mog1 seed=1 step=175] current_train_nll=9.4436 best_held_out_nll=9.6108 accept_rate=0.08 valid_proposal_rate=1.00
[mog1 seed=1 step=200] current_train_nll=9.3861 best_held_out_nll=9.5354 accept_rate=0.07 valid_proposal_rate=1.00
[mog1 seed=1 step=225] current_train_nll=9.3861 best_held_out_nll=9.5354 accept_rate=0.07 valid_proposal_rate=1.00
[mog1 seed=1 step=250] current_train_nll=9.0674 best_held_out_nll=9.1388 accept_rate=0.06 valid_proposal_rate=1.00
[mog1 seed=1 step=275] current_train_nll=9.4774 best_held_out_nll=9.1388 accept_rate=0.06 valid_proposal_rate=1.00
[mog1 seed=1 step=300] current_train_nll=11.0445 best_held_out_nll=9.1388 accept_rate=0.06 valid_proposal_rate=1.00
[mog1 seed=1 step=325] current_train_nll=10.5830 best_held_out_nll=9.1388 accept_rate=0.06 valid_proposal_rate=1.00
[mog1 seed=1 step=350] current_train_nll=8.5631 best_held_out_nll=8.6225 accept_rate=0.06 valid_proposal_rate=1.00
[mog1 seed=1 step=375] current_train_nll=8.7377 best_held_out_nll=8.6225 accept_rate=0.07 valid_proposal_rate=1.00
[mog1 seed=1 step=400] current_train_nll=8.6957 best_held_out_nll=8.3505 accept_rate=0.07 valid_proposal_rate=1.00
[mog1 seed=1 step=425] current_train_nll=8.6957 best_held_out_nll=8.3505 accept_rate=0.06 valid_proposal_rate=1.00
[mog1 seed=1 step=450] current_train_nll=8.6957 best_held_out_nll=8.3505 accept_rate=0.06 valid_proposal_rate=1.00
[mog1 seed=1 step=475] current_train_nll=8.6657 best_held_out_nll=8.3505 accept_rate=0.06 valid_proposal_rate=1.00
[mog1 seed=1 step=500] current_train_nll=10.1742 best_held_out_nll=8.3505 accept_rate=0.06 valid_proposal_rate=1.00
[mog1 seed=1 step=525] current_train_nll=8.9509 best_held_out_nll=8.3505 accept_rate=0.06 valid_proposal_rate=1.00
[mog1 seed=1 step=550] current_train_nll=8.9509 best_held_out_nll=8.3505 accept_rate=0.06 valid_proposal_rate=1.00
[mog1 seed=1 step=575] current_train_nll=8.9509 best_held_out_nll=8.3505 accept_rate=0.05 valid_proposal_rate=1.00
[mog1 seed=1 step=600] current_train_nll=8.9509 best_held_out_nll=8.3505 accept_rate=0.05 valid_proposal_rate=1.00
[mog1 seed=1 step=625] current_train_nll=8.9509 best_held_out_nll=8.3505 accept_rate=0.05 valid_proposal_rate=1.00
[mog1 seed=1 step=650] current_train_nll=8.9509 best_held_out_nll=8.3505 accept_rate=0.05 valid_proposal_rate=1.00
