iteration,median,q25,q75
1,6.148450597646381,6.095552347163439,6.243078858334972
2,6.059813295952429,6.019401915943348,6.0690805700723045
3,6.01051775155352,5.999532408795923,6.036061412770132
4,5.993449785005632,5.949134952038878,5.999025586097572
5,5.991144326564877,5.87873334933904,5.9990255834267066
6,5.9911330557955,5.817401659830243,5.999025583374974
7,5.988903151792689,5.8083637192315685,5.999025583374974
8,5.970462700613953,5.800596819268103,5.988833240437332
9,5.958617877594863,5.784245508174973,5.988833240349173
10,5.946427621724893,5.783585454864243,5.988833240310041
11,5.914910928236871,5.78358544081231,5.9888332401666355
12,5.890354454569584,5.783585440796681,5.9888332401666355
13,5.8506366691811635,5.783585440693161,5.9888332401666355
14,5.8112043027535165,5.783585440693161,5.9888332401666355
15,5.786589624381788,5.783585440693161,5.9888332401666355
